Jan,Feb,Mar,Qtr1,Apr,May,Jun,Qtr2,Jul,Aug,Sep,Qtr3,Oct,Nov,Dec,Qtr4,Annual,HALF1,HALF2
206.564,206.563,207.359,206.82866666666666,207.777,207.987,207.886,207.88333333333333,208.211,208.639,208.788,208.54600000000002,208.689,208.816,209.27,208.92499999999998,208.046,207.356,208.736
210.388,211.09,212.954,211.47733333333335,214.535,215.899,215.954,215.46266666666665,216.099,216.586,216.968,216.55100000000002,215.653,215.614,215.173,215.48000000000002,214.743,213.47,216.016
216.368,216.855,218.975,217.39933333333332,219.405,219.145,219.017,219.189,218.956,220.462,221.125,220.181,220.375,219.483,219.033,219.6303333333333,219.1,218.294,219.906
219.282,221.599,222.121,221.00066666666666,221.931,223.049,223.775,222.91833333333332,222.902,223.046,223.252,223.0666666666667,222.171,221.718,221.194,221.69433333333333,222.17,221.96,222.381
222.247,223.493,225.485,223.74166666666667,226.214,226.565,227.588,226.789,226.997,226.587,226.913,226.83233333333337,225.793,224.396,222.821,224.33666666666667,225.425,225.265,225.585
221.545,222.301,223.55,222.46533333333332,223.797,224.732,225.946,224.82500000000002,225.853,225.83,225.184,225.62233333333333,225.05,224.009,222.722,223.927,224.21,223.645,224.775
223.301,223.196,224.621,223.706,225.609,226.476,227.835,226.64000000000001,226.786,227.097,227.636,227.173,227.358,226.673,226.794,226.9416666666667,226.115,225.173,227.057
228.279,228.633,228.824,228.5786666666667,229.682,229.705,229.78,229.72233333333335,229.82,230.443,231.03,230.431,230.66,231.084,230.548,230.764,229.874,229.151,230.598
232.028,232.512,232.931,232.49033333333333,233.913,235.065,235.455,234.811,235.346,235.276,235.524,235.38199999999998,235.68,234.292,233.458,234.47666666666666,234.29,233.651,234.929
233.837,235.444,236.793,235.35799999999998,237.51,238.219,238.288,238.00566666666668,238.76,238.786,238.847,238.7976666666667,239.243,238.85,238.734,238.94233333333332,237.776,236.682,238.87
