Jan,Feb,Mar,Qtr1,Apr,May,Jun,Qtr2,Jul,Aug,Sep,Qtr3,Oct,Nov,Dec,Qtr4,Annual,HALF1,HALF2
232.294,232.382,233.188,232.62133333333335,233.615,234.13,233.834,233.85966666666664,233.885,234.15,234.027,234.02066666666664,234.671,235.094,235.141,234.96866666666665,233.868,233.241,234.495
235.969,237.11,239.074,237.38433333333333,240.267,241.566,241.69,241.1743333333333,242.282,243.033,243.323,242.87933333333334,243.014,242.652,241.987,242.55100000000002,240.997,239.279,242.715
242.879,243.85,245.125,243.95133333333334,245.85,245.709,245.201,245.58666666666667,244.984,246.252,247.409,246.215,247.564,247.097,246.456,247.039,245.698,244.769,246.627
247.277,248.665,248.719,248.22033333333334,248.464,248.584,248.851,248.633,249.411,249.858,250.231,249.83333333333334,249.32,249.503,249.567,249.46333333333334,249.038,248.427,249.648
251.045,251.233,252.413,251.56366666666668,252.506,253.598,253.555,253.2196666666667,253.833,253.185,253.154,253.39066666666668,252.73,251.781,250.519,251.67666666666665,252.463,252.392,252.534
250.016,250.619,251.451,250.69533333333334,251.76,252.77,253.626,252.71866666666665,253.405,252.903,252.922,253.07666666666668,252.504,252.573,251.67,252.249,252.185,251.707,252.663
251.739,252.25,252.854,252.28100000000003,254.27,255.023,255.471,254.92133333333334,255.386,255.545,256.085,255.672,256.605,256.541,256.427,256.52433333333335,254.85,253.601,256.098
258.073,258.768,258.51,258.4503333333333,259.165,259.386,259.335,259.2953333333333,258.833,259.508,260.875,259.7386666666667,260.58,260.63,260.791,260.667,259.538,258.873,260.203
262.188,263.26,263.556,263.0013333333333,264.669,265.84,265.95,265.48633333333333,265.83,266.425,266.709,266.3213333333333,266.464,265.487,265.286,265.7456666666667,265.139,264.244,266.034
266.109,266.706,268.025,266.94666666666666,269.07,269.744,270.133,269.64900000000006,270.381,270.548,270.563,270.4973333333333,270.348,270.643,270.429,270.4733333333333,269.392,268.298,270.485
