Jan,Feb,Mar,Qtr1,Apr,May,Jun,Qtr2,Jul,Aug,Sep,Qtr3,Oct,Nov,Dec,Qtr4,Annual,HALF1,HALF2
219.989,220.179,220.809,220.32566666666665,221.202,221.417,221.147,221.25533333333337,221.331,221.523,221.384,221.41266666666664,221.708,221.671,222.081,221.82000000000002,221.203,220.79,221.616
223.149,224.431,226.558,224.71266666666668,227.837,228.516,228.075,228.14266666666663,227.805,228.222,229.147,228.39133333333334,229.195,228.771,228.117,228.69433333333333,227.485,226.428,228.543
228.98,229.995,232.039,230.338,232.561,233.053,232.701,232.77166666666668,231.893,233.001,234.083,232.99233333333333,234.966,233.206,232.029,233.40033333333335,232.376,231.555,233.196
232.759,234.595,235.511,234.28833333333333,235.488,235.979,236.227,235.898,236.341,236.591,237.146,236.69266666666667,237,236.153,236.096,236.41633333333334,235.824,235.093,236.555
236.707,237.614,239.092,237.80433333333335,239.808,241.35,241.616,240.92466666666667,241.85,241.66,241.92,241.80999999999997,241.65,240.22,239.095,240.3216666666667,240.215,239.365,241.066
238.318,239.748,241.69,239.9186666666667,242.302,244.227,244.332,243.62033333333332,245.04,244.737,244.257,244.678,244.341,243.749,243.434,243.84133333333332,243.015,241.77,244.26
244.6,244.821,245.404,244.9416666666667,246.589,247.855,248.228,247.55733333333333,248.375,248.498,249.234,248.7023333333333,249.897,249.448,249.516,249.62033333333332,247.705,246.25,249.161
250.814,252.252,252.949,252.00500000000002,253.806,254.38,254.469,254.21833333333333,254.708,255.282,256.504,255.49800000000002,257.223,257.126,257.347,257.23199999999997,254.738,253.112,256.365
258.638,259.986,260.994,259.8726666666667,262.037,263.24,263.732,263.003,263.971,264.395,265.105,264.49033333333335,266.195,265.658,265.209,265.68733333333336,263.263,261.438,265.089
265.624,266.215,267.37,266.40299999999996,269.522,270.88,270.957,270.45300000000003,271.029,271.264,272.102,271.465,273.524,273.128,272.584,273.0786666666667,270.35,268.428,272.272
